,Product_ID,Sales_Agent,Status,Created_hour,Created_min,Created_day,Created_month,Source_freq_encode,Location_freq_encode,Delivery_Mode_Mode-1,Delivery_Mode_Mode-2,Delivery_Mode_Mode-3,Delivery_Mode_Mode-4,Delivery_Mode_Mode-5
2005,18,7,0,12,22,12,9,0.3460698689956332,0.28370633187772926,1,0,0,0,0
2006,15,11,0,12,19,12,9,0.3460698689956332,0.3541211790393013,0,0,0,0,1
2007,15,5,0,12,18,12,9,0.3460698689956332,0.3541211790393013,0,0,0,0,1
2008,19,9,1,12,0,12,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
2009,27,5,0,11,55,12,9,0.36340065502183405,0.07191593886462883,0,0,0,0,1
2010,27,3,1,10,52,12,9,0.2368995633187773,0.3541211790393013,0,0,0,0,1
2011,9,2,1,10,35,12,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
2012,18,11,1,9,45,12,9,0.36340065502183405,0.12377183406113537,1,0,0,0,0
2013,15,3,0,2,20,12,9,0.2368995633187773,0.3541211790393013,0,0,0,0,1
2014,18,7,0,1,30,12,9,0.36340065502183405,0.028930131004366814,0,0,0,0,1
2015,15,4,0,21,23,11,9,0.2368995633187773,0.12377183406113537,0,0,0,0,1
2016,15,7,0,21,4,11,9,0.2368995633187773,0.3541211790393013,0,0,0,0,1
2017,19,2,1,20,46,11,9,0.2368995633187773,0.06413755458515284,0,0,0,0,1
2018,18,3,0,18,55,11,9,0.36340065502183405,0.01896834061135371,0,0,0,0,1
2019,18,9,1,18,25,11,9,0.36340065502183405,0.054448689956331876,1,0,0,0,0
2020,10,9,1,18,15,11,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
2021,27,3,0,17,43,11,9,0.3460698689956332,0.28370633187772926,0,0,0,0,1
2022,9,5,0,17,36,11,9,0.2368995633187773,0.28370633187772926,0,0,0,0,1
2023,18,9,0,17,35,11,9,0.36340065502183405,0.12377183406113537,1,0,0,0,0
2024,27,4,0,17,0,11,9,0.36340065502183405,0.12377183406113537,0,0,1,0,0
2025,19,9,1,16,43,11,9,0.2368995633187773,0.28370633187772926,1,0,0,0,0
2026,18,2,1,16,37,11,9,0.3460698689956332,0.3541211790393013,0,0,1,0,0
